text,label
"Eran tan pero tan feministas que invisibilizaban constantemente a las trabajadoras sexuales, haciéndole creer al mundo que eran incapaces de decidir y que cada vez que ejercían su derecho a hacerlo estaban siendo violadas.",0.0
@USER @USER @USER Me carga en lo q se convirtió la 2da vuelta a la gobernación...una flaiterío.,0.0
", ¿Sabrán las femiorcas como @USER y todo el flaiterio mapuchento , que si hay una cultura y sociedad absolutamente hetero patriarcal, de un machismo extremo, es justamente la mapuche?",1.0
@USER @USER @USER @USER Una vecina que nada tenia que ver con este flaiterio de sus hijas,0.0
@USER Debajo de que piedra estaba ese flaiterio?,0.0
"@USER Esto lo vengo diciendo desde el voto obligado por Piñera.
Dejemos el país en manos de la izquierda 4 años, así nunca más volverán a gobernar.
El flaiterio tiene que saber que es pasar hambre y perder Libertades",0.0
"Que un militar te diga:""amigo mejor entre la bicicleta y pase con ella a votar. Este lugar es peligroso"" da a pensar que los flaites se las ganan a los milicos. Que lata!!! Eso es vivir en una narco comuna po.",0.0
@USER Por esto lados muchos flaites de pelo pintado,0.0
"@USER Haber, pensando en la cantidad de flaites ignorantes que hay, dos meses.",0.0
"@USER @USER @USER @USER Entiendo. Haces referencia al flaite cuando es pobre. Yo me refiero a la gente con gustos/costumbres flaites, que no necesariamente las adquieren por vulnerabilidad. 
Sorry lo insistente, pero por ejemplo el hijo de la Argandoña cero carencia y harto cuma el wn.",0.0
@USER @USER Jueron loh pacohhh..típica frase de loa flaites retardados,0.0
"@USER @USER FUERA LOS FLAITES !!!
FUERA LOS 34 MACABROS DEL MAPOCHO 🤡⚠️🐄🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🐄 LINK",0.0
@USER Todos los flaites pueden quedarse en su casa sacandose los mocos..,0.0
@USER Pero alla no tienen flaites,0.0
"@USER No será musho? No se trata de “rotos” creo yo. Se trata de flaites que llenan las tiendas deportivas. Es cosa de asomarse, las tiendas nike o adidas son las más llenas.",0.0
"Los descriteriados de la plaza ñuñoa son igual de descriteriados q los del costanera, parque arauco, alto las condes, los q se fueron de vacas a brazil o los q andan en arabia saudita. Manga de flaites.",0.0
"@USER Csm 🤣🤣🤣🤣,y los flaites no entenderán nada, jaja",0.0
@USER @USER 😂😂😂😂 espero que la institución que se venga sea mas dura con los flaites que webean todos los Viernes en Plaza Italia.,0.0
"@USER Se está iluminando, esto es resultado del populismo barato; eso pasa cuando se elige gente que no tiene la mínima preparación para escribir algo tan serio como la Constitución de un país. Puros flaites ignorantes.",0.0
"Las dos cagadas de la cabeza, ordinarias, picantes, flaites... LINK",0.0
@USER Le habla a los 34 flaites de la lista del pueblo o los pelotudos del partido comunista y frente amplio? Ve cómo cambia la cosa cuando se toma los remedios.,0.0
@USER @USER @USER WAJAJAJA....PUROS FLAITES IGNORANTES...,0.0
@USER Flaites según la gran @USER,0.0
@USER Siiii jajajajaja no hay nadie q se salve… todos flaites!,1.0
@USER No faltan los flaites,0.0
"@USER En lo personal me parece buena idea, ya vemos cómo con la actual justicia tenemos a los flaites saliendo libre a las 2 hrs.  Con este sistema de jurado, me imagino tipo USA, la ciudadanía que sufre de esos flaites dudo que lo dejen libre a las 2 hrs.",0.0
"@USER Como será que piensa con el culo y que en ningún momento hablé de toda la lista (la cual tiene en general demandas legítimas). Hable de 34 flaites.

34
Treinta y cuatro",0.0
"Qué bueno que no me gusta ese deporte de simios de 11 flaites corriendo detrás de una pelota, odio a PerKing  😍 ✨👌",0.0
"@USER @USER Flaites auspiciados por el PC, a quienes hicieron pasar por “independientes” para agarrar los votos de quienes no querían votar por partidos.",0.0
"@USER @USER Los ""flaites"" desperdician los mejores años de su vida bebiendo cerveza con asiduidad, en vez de estudiar o trabajar intensamente; a esa edad la energía sobra. Y luego cuando se topan de frente con el fracaso o la miseria, culpan a los ricos. No reconocen sus propias elecciones.",0.0
"Hace 20 minutos aproximadamente 4 pendejos flaites, todos con pistolas, intentaron asaltarme nuevamente… logré arrancar. Debemos comenzar a portar armas? De qué manera podemos andar seguros? @USER @USER @USER",0.0
@USER @USER Esto es igual de patetico q los viejos que quieren hablar como flaites y dicen “shigua loco”,0.0
"@USER @USER Se da cuenta el nivel de flaites y rotos que existen Dra.??
seguro que este picante es nini. mantenido por su pobre abuela que le financia las chelas y los pitos.
No lo pesque, tiene severo daño este idiota.",0.0
@USER @USER @USER Automovilistas = flaites?,0.0
"Flaites qls!

Y pa’ que no lloren, me acordé de la primera funa que le hizo el hermano a la Kel Calderon. El weón muy cuico pero escribía como el hoyo!",0.0
@USER A los pobres sinverguenzas !! Hay gente de clase media que aún así abona por sus deudas esta gente es fresca care raja así de corta,0.0
"@USER Q dificil es encontrar un gil q argumente sin sacar la tula en tu sector. Ya sabemos como terminó la aventura revolucionaria, para q darle mas vueltas al temita.",0.0
"@USER @USER Que vote apruebo de nuevo... le pasó por gil, igual que Piñera.",0.0
"@USER @USER @USER El gil pa huevón, solo te da para repetir lo que escuchas.",0.0
"Niño de 4 años app vecino de mi mamá "" oye poh Gil culiao te estoy llamando baja"" 
Así quede 😦
(Y mi mamá me dice que dice hueas peores 😱) 

Y para mi hija un garabato es decir ""estúpida"" LINK",0.0
@USER @USER Es una pobre gil @USER,0.0
"@USER @USER @USER @USER Creo que el término acuñado ahí sería ""vídeo copias"" o ""fotovideos""... Que impresionante como este gil innova hasta en esto. 
Un wn con compromiso.",0.0
"@USER Y a quién saca, a Pulgar, Aranguis, Vidal. 6 meses buenos en la liga chilena es muy poco para la selección, sin jugar ninguna copa  a nivel internacional.",0.0
"Ojala le hubieran tirado 20 por gil
Esa, wea no se hace LINK",0.0
"@USER @USER #SecosNominados
No se que hace Baeza.
Falto Gil y Mendez
Es cuático Lasarte.
Saludos y a fondearse.
Curicó también está en cuarentena?
@USER",0.0
"MUY BUEN DESAFÍO. ME HIZO PENSAR. VA EL MIO ⬇️
Aceval
Barrios 
Costa 
Díaz 
Escuti
Figueroa 
Gil 
Henríquez 
Inostroza 
Jiménez 
Dabrowski (contiene K)
Leal 
Muñoz 
Neculñir
Yañez (contiene Ñ)
Opazo 
Perez 
Quiroga 
Ramos
Soto 
Torres 
Ubeda 
Vidal 
Wirth
X NO HAY**
Yates 
Zuñiga LINK",0.0
#labatallafinalmv pensaba que orrego iba a defender a piñera... mala tu pauta karina oliva... te disparate en los pies por gil.,0.0
"@USER @USER @USER @USER Jackson se reinventaría con un cine seguramente, así de gil. ¿Llegar con ayudas a Pymes que cerraron? La plata no sale de los árboles. Un niño de 10 años lo entiende. El gran universo está en las que la siguen peleando.",0.0
"Hola, creo que faltaron Allende, Araos, Gil y Zacarias López. Me sobran Baeza, Pinares, Castellón y Maripan ⚽🇨🇱 #espnf90chile",0.0
"Microciclos: Del Bielsa/Sanhueza al Lasarte/Gil

LINK",0.0
@USER @USER Gil es mucho más jugador que marcelino nuñes,0.0
@USER jaja también! absolutamente gil el tipo!,0.0
"@USER siento que cualquier mensaje queda invalidado si el gil que lo escribe muestra cierto ""lujo"" (corbatas, autos, teléfono)",0.0
"y lo último respecto a la nómina: saavedra, victor mendez o gil &gt;&gt;&gt; el malo ql de pablo galdames",0.0
"@USER @USER @USER Enzo Roco, ex andia... no puede estar ni en una nominacion al luche po wn que weon mas malo... maripan fuera, me falto el Colo Gil y Rojas ademas de Cortés, no puede ser mas Castellon que el...",0.0
"@USER Enzo Roco, ex andia... no puede estar ni en una nominacion al luche po wn que weon mas malo... maripan fuera, me falto el Colo Gil y Rojas ademas de Cortés, no puede ser mas Castellon que el...",0.0
"Si fuera por mi.
Fuera: Castellón, Galdames, Baeza, Vegas, Pinares y Arriagada.
Adentro: Zacarías, Méndez, Gil (Saavedra), Wiemberg, Dávila y Valencia (Larrondo) por decir algunos.
Hay mucho más, lo que nos urge es creatividad y finiquito y creo que por ahí se debía privilegiar.",0.0
"Ahora, también me habría gustado ver a Araos, Allende, Nico Díaz, Dávila, Zacarías, Méndez, Gil... Pero bueno, no pueden ser todos.

Quizás habría dejado afuera a Vargas, para ""arriesgar"" con otro 9, que es lo que más nos urge. 

No es mala nómina, creo, pero tampoco me llena.",0.0
"Bueno, inexplicable que no estén Victor Felipe Méndez y Leo Gil.",0.0
@USER @USER @USER @USER Ni un brillo Gil,0.0
